"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Frankenhooker","6.2","A medical school dropout loses his fiancée in a tragic lawnmower incident and decides to bring her back to life. Unfortunately, he was only able to save her head, so he goes to the red light district in the city and lures prostitutes into a hotel room so he can collect body parts to reassemble her.","1990-06-01","en","Frank Henenlotter","James Lorinz, Patty Mullen, Joseph Gonzalez, Charlotte J. Helmkamp, Joanne Ritchie","205068","Comedy, Horror, Science Fiction","Комедия, Ужасы, Научная фантастика"
"Leatherface: The Texas Chainsaw Massacre III","5.3","Two college students driving coast to coast are lured off the main highway and onto a deserted Texas road. Here they are stalked by the menacing Leatherface and his demented family...a bizarre cannibalistic clan with blood on their hands and a feast on their minds. The students’ only chance for escape is a survivalist with enough firepower to blast Leatherface and the rest of the grisly predators to hell. A depraved shocker of intense terror from the gruesome beginning to the bloody finish.","1990-01-12","en","Jeff Burr","Kate Hodge, Ken Foree, R.A. Mihailoff, William Butler, Viggo Mortensen","55800000","Horror, Thriller","Ужасы, Триллер"
"Tremors","6.905","Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","1990-01-19","en","Ron Underwood","Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire","48572000","Horror, Action, Science Fiction, Comedy","Ужасы, Боевик, Научная фантастика, Комедия"
"Child's Play 2","6.3","Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.","1990-11-09","en","John Lafia","Alex Vincent, Brad Dourif, Christine Elise, Jenny Agutter, Gerrit Graham","35763605","Horror, Thriller","Ужасы, Триллер"
"The Exorcist III","6.2","On the fifteenth anniversary of the exorcism that claimed Father Damien Karras' life, Police Lieutenant Kinderman's world is once again shattered when a boy is found decapitated and savagely crucified.","1990-08-17","en","William Peter Blatty","George C. Scott, Ed Flanders, Brad Dourif, Jason Miller, Nicol Williamson","39024251","Horror, Mystery","Ужасы, Мистика"
"The Witches","6.93","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?","1990-05-25","en","Nicolas Roeg","Jasen Fisher, Mai Zetterling, Anjelica Huston, Charlie Potter, Rowan Atkinson","15400000","Fantasy, Family, Horror","Фэнтези, Семейный, Ужасы"
"Troll 2","4","When young Joshua learns that he will be going on vacation with his family to a small town called Nilbog, he protests adamantly. He is warned by the spirit of his deceased grandfather that goblins populate the town. His parents, Michael and Diana, dismiss his apprehensions, but soon learn to appreciate their son's warnings. Guided by his grandfather's ghost, will Joshua and his family stand a chance in fighting off these evil beings?","1990-10-12","en","Claudio Fragasso","Michael Stephenson, George Hardy, Margo Prey, Connie Young, Robert Ormsby","0","Horror, Fantasy","Ужасы, Фэнтези"
"Gremlins 2: The New Batch","6.5","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","1990-06-15","en","Joe Dante","Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo","41482207","Comedy, Horror, Fantasy","Комедия, Ужасы, Фэнтези"
"Brain Dead","5.7","In a battle of man versus machine, Martin, a top neurosurgeon who's studying brain malfunctions that cause mental illness, delves deep into his own mind to save himself from a megalomaniacal corporation.","1990-01-16","en","Adam Simon","Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor, Patricia Charbonneau","0","Thriller, Horror, Science Fiction","Триллер, Ужасы, Научная фантастика"
"Repossessed","5.2","It's been some time since Father Jebedaiah Mayii exorcised the Devil from little Nancy Aglet, who is now grown up with a husband and two children of her own. But the prince of darkness wants to go a second round and has returned to repossess her! With Father Mayii unwilling to help, Father Luke Brophy tries his best to help Nancy, even when TV's Ernest Weller plans to air the exorcism live on TV.","1990-09-14","en","Bob Logan","Linda Blair, Ned Beatty, Leslie Nielsen, Anthony Starke, Thom Sharp","1382462","Comedy, Horror","Комедия, Ужасы"
